,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11
Ahora Dice.mp3,0.21004471,0.39442074,0.2990687,0.40263265,0.25525942,0.3564109,0.49379918,0.28756094,0.43831623,0.27510232,0.35280687,0.21643238
Ahora Me Llama.mp3,0.32690367,0.22692516,0.41953135,0.37929916,0.21833473,0.1537806,0.18060797,0.41300005,0.19684215,0.23377934,0.3222577,0.17859125
Ai Preto.mp3,0.36802348,0.20093812,0.20749564,0.2939033,0.29259923,0.55695117,0.27271554,0.37942815,0.27015305,0.19640268,0.35723367,0.2400264
Aigiri Nandini.mp3,0.105931014,0.16681834,0.36251846,0.95206237,0.30313358,0.15613541,0.10483407,0.14710009,0.089262225,0.058077876,0.13687478,0.080922015
Ain't Shit.mp3,0.3623164,0.23548535,0.3422609,0.47696772,0.24886225,0.28375804,0.21136825,0.3425338,0.20341428,0.30794758,0.5051537,0.26302525
Ain't Your Mama.mp3,0.38574758,0.4521386,0.28968093,0.32225284,0.25977775,0.29019466,0.374015,0.3646887,0.5346176,0.543969,0.5704562,0.463619
Akher Yawm.mp3,0.17092793,0.3827053,0.23332042,0.42889026,0.4565937,0.11731149,0.1638001,0.09719977,0.23297514,0.20448159,0.13828127,0.26875627
Alcohol-Free.mp3,0.34930775,0.1953335,0.1930056,0.30214822,0.22404113,0.33476114,0.15902157,0.30202523,0.53152055,0.23992285,0.3221185,0.22269027
Algo Magico.mp3,0.22039218,0.2709818,0.17424308,0.357012,0.2206535,0.19956772,0.26056233,0.1393095,0.2812476,0.12232155,0.26466212,0.5044953
Ali Cabbar.mp3,0.57557666,0.36475337,0.46947962,0.5259026,0.4200028,0.3283435,0.16657239,0.35472214,0.29812583,0.19887096,0.33271486,0.373939
All Around The World (La La La).mp3,0.39302486,0.14180723,0.16914813,0.12554769,0.29168797,0.13369432,0.12705787,0.1919556,0.11949686,0.24771158,0.15219377,0.42378065
All By Myself.mp3,0.4415876,0.200345,0.28085992,0.3697335,0.19421498,0.33604127,0.20470622,0.34818342,0.25675425,0.20530918,0.42432836,0.25176558
All Eyez on Me - Gangsta Remix.mp3,0.38811928,0.24137278,0.22040877,0.33178517,0.5573547,0.30229303,0.3764425,0.44001812,0.4028255,0.4729594,0.37517962,0.53032047
All I Want for Christmas Is You.mp3,0.26799634,0.18490493,0.37968078,0.23948285,0.19411494,0.13057533,0.27110526,0.45883787,0.19541757,0.20311765,0.19749463,0.32673267
All My Life (feat. J. Cole).mp3,0.3113172,0.29101235,0.5351522,0.63027984,0.31599954,0.3310478,0.2654779,0.36229378,0.226048,0.24517588,0.3048555,0.25159654
All Out Of Fight.mp3,0.15285744,0.105232924,0.23770879,0.15709944,0.41631687,0.670316,0.18133172,0.12183461,0.11121122,0.17782168,0.14166725,0.15161051
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault).mp3,0.6098467,0.24847518,0.3103742,0.17650327,0.35279533,0.18466964,0.15284646,0.3212334,0.1794712,0.20439902,0.12574932,0.3001277
all-american bitch.mp3,0.11928524,0.31934845,0.09724641,0.15332016,0.07719585,0.19996914,0.48635402,0.1603285,0.27352694,0.15930597,0.3015926,0.23713309
Alone (with Nicki Minaj).mp3,0.2384474,0.373207,0.20689994,0.30430245,0.15129487,0.3137383,0.52387506,0.18210612,0.19448526,0.18639626,0.4267949,0.28468022
"Alone, Pt. II.mp3",0.26024833,0.39362112,0.29408896,0.3764575,0.25672296,0.36393175,0.41364098,0.28364104,0.38798618,0.2884143,0.4489199,0.36244616
Alone.mp3,0.24756308,0.11069775,0.114736445,0.14092116,0.37536514,0.11520114,0.14001173,0.27458736,0.23445626,0.52087957,0.217491,0.34535894
Already Dead.mp3,0.24286051,0.50375307,0.23105375,0.3790098,0.17218207,0.28868872,0.24053374,0.17929089,0.23136882,0.13460928,0.31504586,0.11613605
Already Rich.mp3,0.48021266,0.46204954,0.57757217,0.4961259,0.4739659,0.55496645,0.3991259,0.31325585,0.3191129,0.36819634,0.7053151,0.62047184
Always This Same Old Song.mp3,0.3308246,0.3085559,0.41869956,0.36116174,0.44951263,0.3468289,0.26711562,0.36620474,0.21166678,0.22083013,0.15609013,0.3076916
Always.mp3,0.23573107,0.69625616,0.24403325,0.09404815,0.20270284,0.101284355,0.13464719,0.08588687,0.15413202,0.25817582,0.16361229,0.33095518
Am I Wrong.mp3,0.40645507,0.2324155,0.27938044,0.37995335,0.18911162,0.22065704,0.18789488,0.44592404,0.3265868,0.23967643,0.3238123,0.20912388
AM Remix.mp3,0.17075732,0.3734229,0.30571648,0.33022076,0.527585,0.29475462,0.3608754,0.1462838,0.23957558,0.3139464,0.19176453,0.19366948
Amapiano.mp3,0.48783743,0.32943526,0.34503976,0.39719468,0.41215226,0.50496346,0.34617266,0.38589898,0.2976841,0.29025537,0.34149954,0.37076318
Ameno Amapiano Remix (You Wanna Bamba).mp3,0.3087142,0.3606045,0.47087783,0.53357434,0.4369983,0.4124667,0.4342452,0.5760969,0.65618473,0.44924772,0.38642138,0.40126395
American Boy.mp3,0.27795565,0.2127986,0.2697845,0.36208227,0.5440666,0.29792848,0.32826322,0.29488894,0.1895441,0.22264458,0.22155093,0.39960006
Amigos Con Derechos.mp3,0.3381087,0.38848692,0.21861862,0.34193227,0.21713181,0.42421854,0.39430985,0.25098333,0.293197,0.2014823,0.2917827,0.18373094
Amor A Primera Vista.mp3,0.4280053,0.31289184,0.38571265,0.27603602,0.41496867,0.39589226,0.35126832,0.39189458,0.38033032,0.43416613,0.3486811,0.44714096
AMOR PROPIO.mp3,0.27658537,0.39609033,0.3065986,0.33481956,0.41855213,0.24287604,0.31442478,0.20498003,0.42316628,0.46652374,0.30518883,0.40907416
Amor Tumbado.mp3,0.33633175,0.45920202,0.24340773,0.18198815,0.17339654,0.21714388,0.49403948,0.28766736,0.4119007,0.353564,0.2678172,0.41512328
Ana Ghaltan.mp3,0.41645387,0.30710945,0.21832417,0.23319224,0.3379565,0.19137359,0.344354,0.4050209,0.21201038,0.2143459,0.24356438,0.4206835
Andamos Mejor.mp3,0.36348784,0.317173,0.28293136,0.1942873,0.26824507,0.26432815,0.34968972,0.27251154,0.30373195,0.47941688,0.46418673,0.51497704
Andas En Mi Cabeza.mp3,0.15644239,0.25424942,0.20575339,0.22908868,0.4649316,0.23228705,0.32876468,0.19722687,0.43529198,0.50172573,0.24463895,0.28675294
ANDO.mp3,0.27787325,0.2866487,0.30560848,0.40648633,0.34105498,0.41628748,0.42358834,0.27781373,0.37772408,0.2925864,0.38748264,0.2779987
Angels Like You.mp3,0.238134,0.17940155,0.2798902,0.18574019,0.3362801,0.24415277,0.12685744,0.13546644,0.12824053,0.28773588,0.34704095,0.19464241
Animals.mp3,0.2882864,0.26512825,0.35078666,0.29625803,0.55978584,0.2871829,0.3424933,0.30977535,0.23256175,0.18514311,0.2300857,0.41246152
"Annihilate (Spider-Man_ Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset).mp3",0.33532774,0.22733812,0.30572528,0.20043021,0.31795892,0.21808201,0.46283445,0.37780493,0.18486926,0.2100502,0.27260128,0.65859264
Another Late Night (feat. Lil Yachty).mp3,0.4024755,0.4968864,0.72771066,0.7084249,0.56246686,0.5196573,0.32992843,0.34913868,0.25877267,0.3149783,0.39551473,0.3373627
Another Love - Tiesto Remix.mp3,0.5231987,0.30772433,0.26802245,0.29898146,0.42934573,0.35555676,0.423674,0.54737115,0.43100452,0.40644175,0.39299464,0.6039843
Another Love.mp3,0.24174334,0.084291555,0.15666048,0.124498576,0.40154722,0.09534743,0.17226647,0.38244125,0.088606566,0.08567083,0.101771094,0.41084978
Anti-Hero.mp3,0.35811773,0.4355286,0.28449026,0.2930943,0.31944308,0.28504327,0.4378789,0.30598933,0.3427048,0.3204297,0.38614807,0.46992886
Antidepresan.mp3,0.3449925,0.5302877,0.54470193,0.37622064,0.44711855,0.34808204,0.4365969,0.33746445,0.33276668,0.39222074,0.32996842,0.44620743
Antidote.mp3,0.4490626,0.55182,0.30885452,0.36138886,0.27154863,0.44311282,0.4326498,0.3317285,0.36589637,0.39324972,0.38944975,0.44607294
ANTIFRAGILE.mp3,0.5127848,0.36408252,0.2948186,0.33179367,0.38291505,0.48632878,0.39035645,0.31611133,0.28156835,0.2364309,0.3119687,0.38272253
Anyone.mp3,0.11948306,0.32073316,0.4899178,0.19338892,0.15902479,0.16534631,0.30077863,0.27356097,0.24471937,0.41537514,0.20240869,0.18206778
AOK.mp3,0.26549998,0.36624786,0.2738584,0.31451195,0.3459948,0.27416804,0.30728266,0.21941562,0.24832879,0.23644054,0.266738,0.398917
Apa Fer Milaange.mp3,0.19608404,0.14411029,0.11888688,0.30527103,0.35517257,0.19898781,0.3215996,0.1934584,0.51500416,0.34483504,0.14524235,0.20681706
Apaga El Cel.mp3,0.26776105,0.33885336,0.27009234,0.36452627,0.2454582,0.4094431,0.40039554,0.3249804,0.35511914,0.25441223,0.37084034,0.18426585
Apocalypse.mp3,0.28557104,0.2242835,0.23869579,0.20456825,0.39105344,0.2817249,0.10997835,0.048209276,0.14707579,0.5029637,0.14656568,0.10262166
April Rain in August Weather.mp3,0.3212339,0.5255128,0.33781645,0.40082037,0.28402337,0.39163727,0.4795043,0.31246996,0.43891525,0.2706591,0.26140207,0.21014369
Aquel Nap ZzZz.mp3,0.18369366,0.30886626,0.09034772,0.1590921,0.3288231,0.16860412,0.33134043,0.13948655,0.24901624,0.23922198,0.18280023,0.35161272
Arcade.mp3,0.61768085,0.22400264,0.20413406,0.12582712,0.21075988,0.26518786,0.14833881,0.2027834,0.13729167,0.25713682,0.1290687,0.3286942
Are You Entertained.mp3,0.36789027,0.39966395,0.27917805,0.3527553,0.29930896,0.44879562,0.38786995,0.36293855,0.34073144,0.31800246,0.43327338,0.3022606
"Are You Going to See the Rose in the Vase, or the Dust on the Table.mp3",0.43792683,0.31630653,0.44215944,0.26888782,0.23108302,0.381992,0.21934871,0.2033402,0.22073703,0.4378649,0.5263915,0.42407462
Area Codes.mp3,0.3618712,0.335394,0.38571036,0.4311756,0.5208166,0.52869076,0.44317126,0.5126606,0.53409684,0.4945509,0.4086993,0.37299106
Arhbo [Music from the FIFA World Cup Qatar 2022 Official Soundtrack].mp3,0.3299748,0.5663867,0.3560916,0.36747685,0.20391645,0.20904957,0.24460451,0.2184675,0.36976734,0.22037284,0.31490692,0.40482828
Aria.mp3,0.8636844,0.57379276,0.30317432,0.21125789,0.19620533,0.1993836,0.3011666,0.46814746,0.37256902,0.3245608,0.3491498,0.5124705
Arjan Vailly (From _ANIMAL_).mp3,0.19709218,0.25423542,0.38449207,0.5319056,0.34783965,0.44753447,0.42661324,0.27129027,0.21729928,0.21623679,0.25588474,0.18495664
Armageddon.mp3,0.37125567,0.34539542,0.334139,0.3484406,0.558655,0.3549099,0.32370558,0.36843708,0.42649105,0.5585659,0.4626815,0.48315227
Armed And Dangerous.mp3,0.4697637,0.32616952,0.389005,0.3726533,0.42254108,0.48917958,0.33564457,0.3955462,0.23908375,0.27884215,0.39314273,0.30742466
