,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19
Don't You Worry Child.mp3,-83.08184,73.58642,18.917585,24.649176,24.120474,17.851057,10.850081,10.049023,0.25221178,14.921125,0.2849134,5.731809,4.6300225,5.385786,3.003953,6.2497706,-1.6826124,5.436518,-0.3784731,-0.06297361
Dona Felicidade.mp3,-78.7616,77.26447,-6.017056,29.803629,4.2025094,7.5154657,2.3282356,2.4608269,-4.541159,1.8731596,-3.9928057,0.042807233,-4.931658,-2.8333998,-5.4416013,-2.9052043,-5.580654,0.034852233,-4.3732276,-2.4401746
Doomsday (with Juice WRLD & Cordae).mp3,-68.94812,74.11268,-5.897476,19.63643,27.043703,4.981326,-2.6395333,7.79972,-5.679265,2.3557918,-3.1864693,-4.8799853,-0.35017833,1.3360794,-1.5726713,1.9329836,-5.036379,4.380321,0.18019383,1.4749818
Dos Besitos.mp3,-86.31703,71.00627,-20.043695,17.500584,-3.6790397,-4.294857,-7.6674867,-2.594866,-4.732289,-5.6978335,-6.0836473,-0.162496,-4.213386,-0.25206235,-3.7810297,-4.097689,-6.9890604,0.023145175,-4.0965734,-0.78140706
Dos Mil 16.mp3,-185.18367,109.42516,1.5106428,0.0671981,-3.911745,-9.137556,5.112037,2.9390602,-25.857567,-0.530578,-6.02879,-1.749915,1.3479756,-4.07647,-3.4622104,-0.46683258,-10.63693,-4.29611,-7.892501,-1.9733634
Double Fantasy (with Future).mp3,-195.30093,135.19131,-5.47192,28.7299,13.541804,14.721432,0.12054443,12.056041,1.1867323,5.727846,-1.167899,4.479912,-2.9013774,2.415733,-2.195565,-0.24067509,-1.6050528,5.076628,2.8105648,3.4677274
double take.mp3,-223.69858,120.98643,0.22946176,-15.048312,-4.9910326,-27.05959,-18.116337,-14.036769,-22.702614,-28.194448,-26.269964,-11.277966,-20.736752,-15.8156395,-16.585293,-10.694219,-18.80248,-8.543682,-9.60503,-4.5033565
Down Bad.mp3,-216.03555,132.17473,36.129524,30.145424,18.310055,8.9380455,8.790599,3.903534,6.19011,1.7332428,-3.3838918,2.304576,0.377219,3.7123926,-1.2475766,-2.4969296,-7.298605,-4.4105177,-1.1066365,4.307228
Down Below.mp3,-300.48746,142.10263,10.792293,-11.702701,-20.422644,-30.928024,-22.186245,-6.958016,-5.2972746,-1.1102024,-6.6054,-6.2976604,-5.9557314,-10.531168,-2.1752253,0.8229829,-1.9780285,2.960832,-1.9129969,5.058948
Down With Me.mp3,-86.08237,102.66032,4.0693626,16.671783,8.827319,-1.7439498,5.5081086,2.8487942,-4.5826454,4.8417377,-0.11523109,0.82143104,3.3017979,-11.06569,0.16032046,-2.9123218,-7.2219286,0.8714758,-2.6514819,3.905841
Drag Me Down.mp3,-184.55437,83.97553,15.044085,13.182309,8.0372715,5.776142,-3.3217123,3.96583,-2.9622407,0.02738178,-5.2225733,1.5275583,-7.3259315,-1.4064417,-3.3286693,-6.4415665,-7.5335674,-2.365284,-9.568524,-1.7411438
Drained of Color.mp3,-97.94023,64.91238,-27.295181,57.799202,21.735764,24.179976,13.976191,3.700725,5.6207757,4.4066424,3.3202467,11.087015,2.1329806,3.4071004,-3.2119257,2.2271543,-2.8593235,-2.3735847,-3.8225029,1.2808458
Drama (feat. Drake).mp3,-371.78854,202.07182,-16.3294,-15.030204,-3.9993348,-17.195984,-29.28804,-19.061375,-20.044771,-16.81152,-18.482574,-18.775785,-18.73794,-16.169172,-16.718279,-11.079137,-10.3118925,-7.794497,-6.744346,-2.84415
Drankin N Smokin.mp3,-93.8987,71.93869,19.910069,17.049553,14.627565,20.088974,1.3826174,19.833939,-0.032036275,8.709933,8.492167,11.835961,0.8409133,5.2703147,3.104543,8.060536,3.4798524,7.767971,1.2911327,4.020943
Dream Girl - Remix.mp3,-139.80237,95.42282,10.098126,18.185535,-8.040182,1.4591507,-8.122783,-14.776748,-0.89380354,-6.549336,-14.088539,-5.5094867,-12.1076765,-4.2628,-11.026051,-2.615926,0.22102097,6.73317,1.8853247,5.0552974
Dream Girl.mp3,-128.93573,102.25823,-7.7945576,13.388868,11.206406,6.25505,12.631018,6.1721087,7.2407875,7.491742,-3.1273224,12.683787,-2.0957,2.463084,-2.526921,4.2574043,-2.7840931,3.060675,0.58585334,4.7851577
Dreaming.mp3,-168.2405,106.95885,-8.468538,24.649803,3.6231186,11.533864,-4.3974695,1.0792546,-10.056934,0.62004125,-9.641469,-0.94780755,-10.542633,-5.7094817,-9.752703,-7.933068,-9.188312,-3.3623273,-9.12952,-7.239634
Drippy.mp3,-160.78145,58.800716,-10.676528,-0.9562527,-17.316978,-1.1871153,-19.97742,-3.4196527,-16.201946,-6.1899786,-7.2330666,1.4020925,-10.900134,-5.9872093,-5.1845293,-1.6072611,-2.8254747,3.3856525,2.892664,2.045117
drivers license.mp3,-252.80171,134.00365,3.69574,9.900287,7.884281,-1.3132973,3.0803363,-1.9040065,-2.2120538,-5.4622483,-10.758055,-8.370883,-6.721198,3.9242103,-2.2626662,0.7671225,-5.8684216,-5.8496985,-11.384815,-7.405068
Drowning.mp3,-129.32748,110.82827,14.885812,-2.9225569,-9.777435,-4.7991023,-9.470714,-10.422383,-16.02788,-8.044421,-12.205464,-6.8496404,-7.2097955,-6.5099425,-5.5916214,-2.4546025,-4.4979534,0.561918,-3.9213724,-0.26756075
Drugs From Amsterdam.mp3,-81.56345,66.1059,2.2012525,12.196973,-2.4530048,-3.2772508,-12.757486,-1.6928723,-9.928605,-3.0780888,-8.682546,-5.572891,-7.5042915,-3.8666701,-7.6860003,-2.8994691,-8.586207,-6.862506,-8.695089,-2.4553308
Drums (Feat. Kim Petras).mp3,-99.475655,82.667366,-7.377546,14.261109,-5.765819,-0.64930063,-7.2026443,-12.664623,-9.811201,3.6112611,-9.250672,-2.9633489,-5.183573,0.6842401,-5.3776016,-1.1040056,-7.6490197,-3.4037874,-4.6077123,-3.3648832
Drunk (And I Don't Wanna Go Home).mp3,-99.02863,119.37965,-1.9075497,47.648853,8.151311,18.403336,6.7870564,2.8102727,2.8625352,-0.72431517,-2.0269175,0.8610473,-3.1921844,1.5694567,-5.2779355,-2.5271022,-6.7667265,-4.1169634,-7.6834636,-1.6612942
drunk text.mp3,-211.4566,111.286,41.40443,6.7688055,4.139408,9.459614,-9.294655,-2.882143,-13.861822,-3.3631935,-4.426316,-4.941484,-9.019891,-8.022124,-10.840669,-13.0873785,-13.493585,-3.0382752,-12.78905,-8.019123
DUELE EL CORAZON (feat. Wisin).mp3,-106.88726,90.61688,3.7979157,18.970066,7.0169086,2.7601666,-9.351023,-4.9293995,-8.01149,1.647632,-8.219469,-0.34563458,-5.2230487,0.22612363,-4.196024,-4.564983,-8.77643,-5.1936216,-10.276303,-7.0057564
"Duki_ Bzrp Music Sessions, Vol. 50.mp3",-147.563,128.87227,8.484894,4.1533,-3.5202546,-3.6273122,-19.167912,-6.1432853,-11.241752,-4.443637,-7.913249,-2.3365796,-8.475023,-9.209018,-7.450433,-4.702741,-11.504166,-2.6812112,-9.8372135,-3.0664227
Dura.mp3,-126.03732,90.33943,-18.735497,10.53899,2.6124737,1.1357658,-5.827395,-0.47040418,-11.911659,6.3923264,-1.0557865,-1.0409716,2.1273236,-2.2206426,-1.4887869,2.5705698,-3.6557157,2.9138043,4.874296,3.6257885
Dusk Till Dawn (feat. Sia) - Radio Edit.mp3,-271.27466,147.78058,14.894547,-0.72129536,7.266892,5.386832,-10.436301,-10.27438,-8.894526,-15.328358,-8.521667,-8.779842,-10.997447,-3.379366,-7.531442,-6.433346,-9.006255,-5.2206993,-9.697861,-3.320155
Dynamite.mp3,-95.96543,78.033066,29.319868,21.416975,17.43256,4.768777,-1.0059656,9.176189,-4.703782,1.604875,-3.7200942,-0.38451904,-3.0181918,1.6224316,-1.2995285,-1.7162026,-3.9071155,-1.4202,-6.676884,3.381924
Easy On Me.mp3,-218.87024,135.53148,19.453394,-1.4923778,3.9568286,-4.4616838,-4.583743,-7.7947645,-10.607952,-3.8047616,-4.790758,-0.07951775,-6.9323473,-8.880297,-4.6463323,-12.9694395,-6.276264,5.142652,-1.8894457,7.883315
ECHOES_ Cala Boca Menino.mp3,-155.63438,123.984375,-14.221466,11.237101,-3.4579291,3.0749974,-9.273412,-3.3690572,1.8774908,-7.482546,-13.054189,-6.7410703,-8.90759,-2.5164647,-3.7747538,-4.720352,-2.240411,-5.105577,-6.336605,-5.7756977
Egwu.mp3,-121.38921,83.05427,46.149963,39.316093,9.916953,11.424774,-0.58978593,3.4244025,-3.8416252,3.0007594,-1.7038745,3.0502386,-0.59268403,4.9721203,1.045833,5.696648,0.7921141,3.956131,-1.8663055,2.721561
Eid.mp3,-125.14536,87.32941,1.1440682,9.574221,3.3903596,-11.83107,-2.4752831,-8.471286,-8.61861,-3.3841348,-3.4071524,-0.4235655,-10.019311,-1.4530435,-10.935494,-2.6910944,1.8298463,0.34329367,2.2263215,5.942897
El Amante.mp3,-90.49648,97.22865,-8.999363,19.101688,1.5524127,-4.934775,-16.642143,1.4560475,-15.373422,2.254958,0.12167992,-5.1765876,2.590504,5.9813137,-5.5532417,5.8184304,-3.2757244,2.1505175,1.3268725,0.046296395
EL AMOR DE SU VIDA.mp3,-58.43166,75.41272,7.7665834,7.2999716,13.761688,1.9187677,-1.9544772,-2.1983073,-1.3007574,0.36190644,-3.0377479,4.7665515,-2.0677485,3.4201634,-5.076355,1.228064,-10.118014,-0.9887547,-6.338089,-8.751359
El Avioncito.mp3,-65.06356,91.383064,20.237522,22.74356,11.348647,3.2626953,0.3616136,5.107206,-5.98,5.623157,1.7158378,1.2554199,0.3048345,1.4047164,-3.9770303,6.123442,-3.474995,-2.3574536,-2.5948482,4.397255
EL BARCO.mp3,-205.35289,97.25225,-37.188675,2.0534444,1.8473268,-6.276572,4.4156127,-13.706629,-6.6883774,-7.1295495,-11.256658,-4.092233,-5.5345473,-4.839934,-12.612256,-8.36131,-8.091107,-6.538054,-11.434956,-9.921725
El Belicon.mp3,-87.30095,93.85739,35.50772,24.17883,15.176013,15.320834,14.070343,5.7771587,1.4626894,7.1116843,-2.4698162,1.1186637,4.7697926,5.666804,-5.2635317,-1.526394,-4.862821,5.1969094,0.057418965,-0.06524488
El Boss.mp3,-91.868286,60.49231,1.7932674,19.198019,13.6672735,12.050481,0.84822977,5.6127605,-1.2649627,2.2951746,-5.6722097,2.703528,-3.798036,-0.5428552,-3.629983,-2.2131798,-0.50388294,1.9753932,-4.590854,-5.287175
El Efecto.mp3,-118.94323,89.34331,-54.542377,-7.609752,-12.100979,-17.960712,-10.719343,-12.642315,-15.036109,-2.4370532,-10.353776,-8.123016,-12.026487,-3.9000497,-10.750154,-11.48496,-7.423058,-11.824862,-11.560025,1.2671082
El Envidioso.mp3,-105.68401,82.443375,2.2432213,8.350961,-10.175572,-7.4509044,-7.7596917,-13.514781,-5.115646,-4.298787,-11.314269,0.5860371,-13.559534,-5.9562736,-9.764747,-1.327955,-6.3969626,-2.3620784,-4.4003224,-6.009926
El Incomprendido.mp3,-101.165886,75.385284,34.285057,22.708202,13.124166,16.241571,11.288058,14.230849,8.383905,13.017131,7.393039,10.869008,3.2373016,4.006465,-3.5598693,-0.54128045,-5.0330567,3.8786516,-0.49491334,1.7303529
El Mejor.mp3,-75.33176,100.42766,6.3944845,11.792114,3.8776035,5.0227323,-4.4119167,-4.9145837,-7.043342,-3.3508508,-4.5519295,-1.2129154,-4.7741947,3.1866066,-2.4610841,2.4805164,-3.2233105,-1.4117846,-2.09193,3.5993962
El Paso Del Gigante.mp3,-118.853546,73.57631,-20.739807,34.08378,-2.5418127,7.374548,-0.17567618,2.4539356,6.6047316,6.744989,4.969388,3.7993424,2.713266,6.281609,-2.6924417,3.367086,-2.9819343,1.5617769,-3.9257715,-4.273369
El Patito Juan.mp3,-235.19954,74.04005,3.3803587,22.284428,6.934082,7.9921756,4.939387,0.32632476,-6.1684246,-0.8485274,-8.283082,5.1037006,-3.86295,2.8273783,-2.210849,1.5195413,-0.948689,0.31662253,1.3768375,3.5480368
El Perdon (with Enrique Iglesias).mp3,-126.86413,101.41317,-3.0626082,24.978926,-2.6914666,-7.072024,-4.510271,4.2532744,-14.564795,4.21141,-7.9677324,-5.8689027,-11.197158,-6.7697563,-9.518628,-2.6278994,-9.638713,1.7340906,1.9312173,-3.8991148
El Rescate.mp3,-124.417984,92.4361,-4.849268,28.062778,15.355696,16.300297,9.365177,7.970813,-5.7887664,4.497167,-3.1940286,1.9347085,-9.451317,-5.6430063,-10.05655,1.9067515,-3.9804492,1.0190517,1.577451,0.027768563
EL TONTO.mp3,-123.803566,90.3624,22.8426,7.8217983,14.837482,-6.898002,-6.8564334,-6.928881,-10.689799,6.818571,-12.707183,-6.9939194,4.642286,-4.846406,-2.6279147,1.6173778,-4.634322,3.4398499,-2.28771,6.5598645
El Toxico.mp3,-42.57118,72.682274,0.2672686,15.830793,-1.4285408,-0.9635949,-5.227065,-0.3226936,-5.946971,4.4842973,-6.283965,0.3255793,-6.688955,-2.429196,-2.9927545,-3.222476,-6.721114,0.64693385,-5.5307865,-0.4496459
El Tsurito.mp3,-99.090004,81.15201,9.342402,26.426556,-3.140689,16.335022,-3.759362,-0.22059749,-0.5983924,7.1592727,-0.48379216,5.66878,-1.6999162,4.0743427,-1.4570535,-0.21926048,-2.0017736,3.477291,-3.4021306,0.1581744
ELA PIROU NA DODGE RAM.mp3,-96.35929,105.172,11.144797,-1.2950854,1.622112,4.9326425,-14.906516,3.8079438,-9.574898,-10.500956,-8.296599,-4.886355,-7.044838,-4.303076,-4.908096,-3.6344,-13.286531,-1.784977,-5.5477095,-3.7932703
Elastic Heart.mp3,-103.5103,96.742386,-9.064318,2.8383286,-4.236393,5.7852573,3.221733,-2.077058,3.109586,6.1225014,-1.0772536,4.8283105,-5.775395,3.2036674,-6.4803996,-1.1832994,1.3227051,5.2251234,3.2644691,4.8115244
ELEVEN.mp3,-137.86383,70.17469,-8.463684,7.671901,-1.7456845,-2.528902,-0.54656833,-8.555578,0.2943648,-3.3336654,-8.639895,-0.30284303,-10.547919,1.429867,-7.8138924,3.0368774,-1.4461612,1.1991,1.5137882,0.4823816
Elini Ver.mp3,-117.66359,99.46029,0.85561234,-2.0299892,-2.0102127,1.6368121,-5.4477396,-6.36908,-8.721982,2.5958285,-1.4667767,-3.7450564,-6.1543627,-0.778724,-2.8666275,-3.6005344,-10.506937,-3.338392,-7.918857,-2.493419
Ella Baila Sola.mp3,-74.5363,82.53691,13.179497,20.336248,9.509478,1.847747,1.6908243,11.812608,-0.6229011,3.5494804,0.10638466,0.47009134,-3.6512573,1.5107251,-3.6715236,-1.55728,-1.2483107,6.613799,-0.43809807,5.821505
Ella No Es Tuya - Remix.mp3,-59.339252,95.73614,-13.358349,-2.4297702,11.646358,-0.18291102,-0.37485734,6.7398744,-10.870562,6.216785,-5.2747755,0.8307195,-2.1341627,-2.078878,-7.0321646,3.4695432,-9.574479,0.12029656,-5.1736927,-2.556435
Ella Quiere Beber - Remix.mp3,-124.94611,104.34656,8.290299,16.628824,16.644842,10.438301,-5.7864585,10.434627,-3.4390583,1.0184169,1.4763288,-4.8211303,-4.0738635,0.3936163,-9.315337,-5.180193,-13.479586,-4.882285,-12.278493,-5.4022985
Embarrassed (feat. Travis Scott).mp3,-110.154076,92.27675,17.008406,24.584906,5.0170255,5.83104,-4.0473022,8.067759,-4.0266485,-0.09039401,-8.975175,-7.330979,-10.058485,-9.748551,-5.5248857,1.3365257,2.33794,7.390779,4.658655,1.1238585
emiliana.mp3,-235.1088,151.09196,19.463202,-3.616397,-2.079463,-2.0924554,-4.0530586,-6.481137,-5.462405,-2.3713455,-6.3425684,-2.9900494,-5.2809825,-1.2385507,-1.8529049,-2.7751775,-1.9988697,-3.1892037,-7.446001,-5.578851
Emotionally Scarred.mp3,-223.05927,133.8342,0.6872625,16.671103,20.065315,8.793464,16.183508,20.274029,2.8776112,1.952824,-0.19991243,-0.11824645,-5.560648,3.4780152,3.3576055,-2.7681925,1.9515804,10.758324,3.6919022,-0.41868857
EMPELOTICA.mp3,-191.05261,97.39306,6.860567,-9.0278845,6.697538,-4.9469466,-0.109795064,-4.843395,-14.250825,-0.9533533,1.459039,-4.620664,-7.715327,-4.4074106,-6.5259476,-1.186648,-3.7715747,1.141426,-12.195507,-12.975668
Empire State Of Mind.mp3,-50.979263,69.637955,12.140517,21.957216,13.421454,11.934239,1.652064,9.066305,-5.002431,3.9328275,-2.5978966,1.6308119,1.3224164,3.7872663,-1.3857093,6.9856286,-2.7297592,-0.1976725,-0.025736483,0.26482686
En El Radio Un Cochinero (Remix).mp3,-86.96295,71.60328,3.375263,6.396108,-2.8580756,-0.31687546,-14.932026,-3.2913878,-5.123375,-0.8830266,-1.8736137,3.0146122,-9.640819,-1.2193981,-6.927157,-1.1313673,-6.549513,1.6124109,-2.8237984,1.4049721
En Tu Perra Vida.mp3,-58.402176,67.81187,-16.908497,13.813779,-3.1856365,7.36492,-2.3590312,-4.055552,-2.3916705,1.3978815,-6.2925367,-2.945992,-8.943051,-4.882513,-7.0417027,-1.0193967,-7.9431925,-1.5604483,-8.355585,-1.4749913
Encore.mp3,-64.17562,76.789276,-27.34414,3.7424166,-12.810436,-14.255906,-17.681787,3.4018147,-8.89082,6.131899,-5.8163123,6.7448626,3.131525,-0.67958146,-7.1330476,2.4030743,-4.856953,-1.691524,-5.2065973,4.05652
Engana Dizendo Que Ama.mp3,-193.87779,97.00031,5.867846,8.109416,10.275554,-10.272384,-0.6958807,-7.2520103,-8.977431,3.2626114,-9.913308,-0.11774721,-3.6137915,-8.920387,-2.3203764,-3.5028806,-9.881844,2.1053708,-3.2303917,-6.7110205
Enjoy.mp3,-117.2445,102.39482,24.377567,10.120498,6.016004,11.742937,-2.530243,2.719191,3.4725375,5.4569283,1.5280203,2.881987,-1.9268417,-1.6186895,0.37325144,0.7482619,-4.364531,2.2671716,-4.5425406,-0.62497777
Enough.mp3,-151.99333,100.016,2.8120239,10.567951,6.77385,-5.0835915,-9.45216,-0.67163956,-16.985119,-9.342143,-8.570729,-6.260711,-9.223245,-10.077355,-10.254805,-4.81358,-11.219524,0.25199455,-4.4008107,-8.331149
ENTRA NA DEFENDER.mp3,-167.73108,110.70072,28.120195,18.706654,16.37144,15.008934,4.508956,8.232784,2.693859,1.278521,-4.365834,3.9706717,-1.4423697,1.5540512,1.0927055,3.335701,0.23880392,8.166094,0.20523326,2.518833
Entre las de 20.mp3,-68.14096,95.351234,13.314029,35.06784,17.037106,16.033834,3.1789136,7.5097117,-1.1167891,8.637543,3.262532,6.5601387,1.5718696,6.874545,0.8704874,3.103272,-1.6897738,2.3964245,-1.1147296,-0.41446692
Entre Nosotros (Remix) [con Nicki Nicole].mp3,-159.41162,75.554085,-3.794095,-1.2578999,-3.2117221,-2.1323888,-0.71360266,-15.5565815,-15.549084,-4.136038,-14.97532,-11.253652,-9.07912,-6.2271647,-5.752208,-0.5200849,-3.64778,-4.7508025,-3.9404485,-3.7032194
Envy Me.mp3,-144.06259,80.4231,23.707684,24.057783,-2.7838,-3.6591027,-5.4729714,-3.5390031,-19.375187,0.61232096,-17.573965,-3.4923127,-6.7622976,-5.2914352,-12.425547,-12.446146,-13.47376,-0.22857884,-8.252504,-7.420218
Epidemic.mp3,-187.61884,85.830215,17.848333,4.738376,6.8108883,5.7914267,-10.27507,-1.2797716,-10.256808,-4.6070337,-8.099768,-1.7920312,-3.5398705,-5.227203,-2.7568367,-0.9865938,-7.9887915,-0.49772516,-0.30103895,1.0964123
ERE.mp3,-223.52177,117.30093,14.404157,12.96111,-3.6116357,3.7448466,-8.457403,-4.7669973,-13.685454,-4.3265367,-8.85108,-7.653881,-17.108519,-7.088515,-10.168187,-4.3692575,-9.16297,-10.107952,-12.277437,-9.272795
Eres Mia.mp3,-104.2994,114.428215,10.228413,22.193703,14.865975,7.5167837,-2.77299,5.718348,-8.525742,2.22177,-5.6276584,-0.083344355,-3.3869984,0.24896765,-4.481419,0.3386493,-4.4051433,0.13204497,1.5395887,5.6188865
Escapate Conmigo (feat. Ozuna).mp3,-95.13738,88.03083,-7.8231854,24.990204,-11.626417,6.569567,-5.5920997,-7.459789,-3.8431695,3.58965,-9.94455,-3.504074,-1.0039799,-3.0437257,-9.759768,2.7122378,-12.442571,-6.2425494,-10.967874,-10.9583645
Escapism. - Sped Up.mp3,-152.49174,58.50954,-9.526695,13.492451,-1.1492294,11.397518,2.7172735,-2.6486533,-0.48899978,10.649795,3.252065,1.1972351,-5.0495076,-0.007971607,-3.405332,4.832482,-3.9485657,-0.6189887,5.1886687,5.15491
Escapism..mp3,-163.58006,54.082912,-9.259022,11.127669,-0.3852079,7.71762,7.2943482,0.43834174,-5.9816685,6.2715387,5.614524,8.021384,-1.7864715,0.50439644,-5.495451,0.27318317,2.526771,-1.9537743,-7.456694,5.6283445
Espresso.mp3,-74.15542,96.43519,9.925399,17.778967,6.7118444,-3.7416542,1.9978913,-3.9577804,-2.1557112,-4.230427,-1.4687284,-2.9958463,-2.9668212,-2.370603,-9.566186,-2.4133,-6.8883038,-3.6060073,-6.474182,-2.878134
Esta Vida.mp3,-94.694916,114.8538,13.824911,14.682185,9.876514,13.857928,-4.22394,10.966636,-0.722854,5.035998,8.514286,4.2060704,-0.78293496,5.092191,1.0283364,2.0294921,-3.1343946,2.9851668,-2.8691936,-0.12397488
eternal sunshine.mp3,-121.113174,94.190636,37.605377,26.863611,5.552142,-6.088325,2.6236122,-2.4396818,2.6424441,-3.4966,-17.785624,-5.9237885,-8.994723,-8.044484,-7.399428,-6.9900985,-5.4497857,-4.681471,-3.9296126,1.2610886
euphoria.mp3,-150.78261,122.98302,28.899296,11.539386,15.507774,-7.299159,-3.7411392,-7.579723,-8.097834,-2.1045146,-5.546306,-1.2009339,-6.801684,-0.036478333,1.0412455,0.29242605,-6.2988706,2.1985323,-3.5389702,0.047884535
Evergreen (You Didn’t Deserve Me At All).mp3,-195.24097,129.47052,29.570602,14.684082,4.5858474,13.958543,4.99787,9.385859,-5.897245,-3.4611793,1.9850668,9.552357,8.524336,7.004369,0.8157791,-0.9774435,-5.446763,-2.129998,-5.847415,-0.99903905
Every Summertime.mp3,-84.08826,100.98777,0.075462125,27.397612,7.4519496,11.062731,1.0334228,-3.9900818,-3.9035094,4.0636964,-6.9582458,1.0506074,-4.4901795,-1.5159167,-6.764174,-2.3486226,-6.179539,-1.7158523,-5.237823,-2.5723717
Everybody Dies In Their Nightmares.mp3,-119.524826,90.399994,-16.823805,9.119459,-10.474221,-4.7601566,-5.14594,-10.861218,-22.256773,-2.3759966,-13.526125,-7.663582,-11.099937,-7.7176533,-0.29246515,-2.274424,-6.907928,3.6291173,1.2567123,-1.0978025
Everybody make some Tik Tok.mp3,-108.57896,60.02379,13.438415,16.856989,3.9943402,12.961798,3.217182,8.972718,4.717611,5.1401887,1.9099674,3.8765209,-0.979923,1.0623503,-3.8257396,0.6311467,-5.5488725,0.1367161,-0.44668335,4.2051325
Everybody Talks.mp3,-76.63848,76.08581,-35.056374,17.085724,-9.203039,-0.21682498,-8.766384,5.425518,-6.760448,-2.1290658,-6.2965236,-0.6318609,-10.907449,-1.5651094,-6.669294,-5.322416,-3.6856213,2.4760718,-6.3126874,-3.7082279
Everyday Hustle.mp3,-124.07251,99.06695,-23.858816,10.074927,-0.7020955,-3.1694677,-6.568052,-7.8983073,-3.4323149,7.9543376,-2.8639736,4.6770487,-5.320042,2.536689,-1.4661065,2.946807,-8.043407,0.3156116,-3.1436882,-0.33483687
Everything I Love.mp3,-74.04311,118.03848,-2.4766045,14.6732235,9.2565365,8.379703,4.6435328,9.720791,5.2419295,7.2806907,-1.8138658,-0.068989426,-2.5788555,7.7261443,0.7358846,7.5528154,-4.837436,3.5552273,-1.5545511,-0.14382762
EVIL EMPIRE (feat. DD Osama).mp3,-161.32895,109.26715,0.1990555,4.4991693,11.641604,7.204122,5.6311135,4.785439,-3.3328872,-2.8078828,-6.07859,-5.7607718,-7.458951,0.35312012,-8.952595,-6.531539,-9.43634,-5.4560804,-6.616507,-4.848916
Evoque Prata.mp3,-115.659996,76.4009,-16.534826,0.055741727,1.783301,-5.4860287,-5.099736,3.788869,-7.685295,6.990783,-8.028286,-6.54104,-17.741356,-7.980301,-7.6151896,-6.5984225,-7.0673842,2.8171475,-5.106437,-4.468936
EXCESOS.mp3,-43.744568,114.26203,-3.3229194,13.235251,8.761037,10.214097,7.056927,12.660351,1.6877867,4.8226147,2.5756776,6.219621,2.652332,6.5469203,-0.3258512,1.9460353,-1.096578,3.0273151,-4.6008086,-2.295601
Exchange.mp3,-237.66881,108.18719,-1.7636583,1.3942788,-1.1668252,-16.302052,-8.328547,-7.0645394,-9.193339,-4.5568256,-6.9230857,-5.1515527,-7.3776493,1.2619932,4.091306,-1.3946717,-2.8051023,5.2751074,8.865742,7.4365764
Exclusive.mp3.mp3,-43.45707,90.77969,2.1315577,-4.7279425,8.019959,7.6509266,0.76567113,4.558068,0.8175079,1.5206711,-6.6516576,1.3362066,-4.0108595,0.4134342,-6.0927005,-1.1535118,-2.7631767,0.34675565,-1.3433638,3.1157477
exile (feat. Bon Iver).mp3,-230.09653,173.0212,24.906809,-2.5619965,0.34661803,0.7399451,-0.52028644,-0.35695797,-9.293717,-3.8447058,-2.8062449,-6.125066,-12.140843,-5.0392118,-7.461764,-2.7533514,-12.370811,-9.25185,-5.709661,-6.452882
Eyes Closed.mp3,-209.9764,95.2752,31.696753,20.299343,16.329666,1.3670152,-1.8164401,1.060984,-10.175344,-6.038745,-17.25962,-17.128298,-13.892341,-8.526744,-10.851609,-6.5116887,-9.597873,-10.441994,-13.565661,-3.8994071
Eyvah Neye Yarar.mp3,-55.648926,70.6337,1.8174361,28.627903,10.944969,19.957373,2.65532,9.842624,-3.5097373,4.6390643,0.9932703,10.286792,5.6153846,6.8683453,-1.2500618,0.2757249,-6.0771675,-0.18265998,0.67607546,-0.41719174
F Boy.mp3,-66.18534,81.46772,20.503689,12.746838,20.022915,10.993734,4.035514,10.695424,0.2225611,7.1150184,0.6167914,7.8321886,-0.49874538,4.822546,3.577354,7.0259786,0.35303035,4.3239965,2.068747,5.342585
F.N.F. (Let's Go).mp3,-170.8157,76.231606,0.7894329,23.43132,5.4455757,9.788253,7.488162,9.845543,-4.866999,6.871737,-3.9194446,6.9927006,1.1503222,6.658343,6.398268,3.6804588,3.700924,2.0892813,1.5104933,3.7955225
Facas - Ao Vivo.mp3,-151.535,90.957115,22.308899,11.916862,5.8913198,-0.62367296,-6.9439473,-1.0645918,-8.770254,-3.78139,-6.1416044,-7.368211,-13.245527,-5.063998,-12.259352,-7.1522,-12.228775,-7.3940897,-7.3651233,-7.994302
Face Off.mp3,-41.226818,84.81508,2.7762728,7.352933,6.131712,2.9024665,-2.5217574,-2.278501,-3.695868,-3.6025558,-2.6773825,8.8419695,-9.646428,-0.38773954,-8.761123,2.6192913,-3.9095807,-0.3801092,-2.4962208,0.5001784
FAKE LOVE.mp3,-23.704082,38.102203,-2.2514546,10.261661,9.408151,2.5994077,-9.4940815,2.0253901,-9.199829,1.4038731,-2.5301745,-5.631775,-7.2918515,-6.8352346,-6.4546814,-1.655835,-0.78778523,-0.04573196,-4.8177314,1.2759777
Fall In Love Alone.mp3,-220.27411,82.156235,9.5908985,17.52769,9.562403,-0.29267776,-1.977999,-4.7768297,-2.9103587,1.1847916,-4.7649226,2.9158185,-1.0681057,-0.260285,1.7199072,2.693828,1.0041723,-1.3307878,-1.0093869,-0.5881383
