,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19
Alone.mp3,-256.8513,118.39197,23.46321,4.72497,6.189374,1.2495443,-3.6871603,2.6606038,-17.603594,-14.223597,-8.732082,-9.759665,-8.499221,-8.424212,-11.6672535,-1.9119593,-8.326766,-3.2870507,-6.4010224,-7.156227
Already Dead.mp3,-185.34169,120.56583,-21.68636,2.9302564,13.462342,-8.807183,-6.723222,-6.44775,-4.4744844,0.21935219,-7.993314,-6.295622,-7.9278665,-3.8501332,-10.432921,-5.213035,-20.722767,-8.318931,-12.240462,-10.610998
Already Rich.mp3,-99.18028,140.84401,-9.946655,26.473352,18.531593,15.099957,0.2701469,6.4095206,-3.9256701,5.330077,1.9821267,6.3799915,4.091014,3.6084907,5.543969,1.6565754,0.55426764,2.085294,3.3345792,5.604451
Always This Same Old Song.mp3,-153.14584,97.51226,40.807705,24.636068,11.710856,-3.109978,-2.0240617,17.830616,-5.501553,19.420862,9.915701,16.363535,-0.4210532,0.4920513,4.596991,7.642281,9.417375,4.085155,9.537225,6.389148
Always.mp3,-349.8205,135.37451,63.875557,36.100784,15.799686,1.5862398,-4.1570106,7.7931957,-3.5692074,-4.4019237,-10.543612,-15.366792,-13.283445,-12.415407,-10.577515,-7.6861863,-8.594209,-12.969128,-14.732877,-14.523067
Am I Wrong.mp3,-129.6338,104.997,-17.162659,18.23029,-0.10721628,6.1791115,-1.9924029,-0.74804384,-10.374732,-4.4395037,-5.7580423,-5.883043,-7.594001,-2.3530555,-6.853997,-5.8751984,-9.2508,-2.3146966,-4.4442673,-3.5613813
AM Remix.mp3,-195.28307,80.13945,14.938153,7.5798407,1.5510154,-6.7212925,-11.226841,-10.46572,-25.321238,-14.621288,-19.81096,-14.775835,-14.438791,-7.283504,-7.703645,-0.5648379,-8.723223,-4.178675,-5.605801,-3.583447
Amapiano.mp3,-122.981155,84.78051,15.091237,33.242435,11.495866,6.559286,-4.244333,2.499669,-3.612222,5.875139,-5.690639,4.570253,-1.1295768,0.5554328,-2.5296807,2.0842187,-5.6916986,3.513693,-0.8362697,0.7420505
Ameno Amapiano Remix (You Wanna Bamba).mp3,-64.98782,69.77983,14.724873,21.751078,9.884285,11.856101,-1.5654234,9.753712,1.8073853,1.7249858,-2.595412,4.6811934,0.61434144,6.539773,-1.4295452,6.363718,-2.6898143,4.399612,-1.7303841,0.19768743
American Boy.mp3,-207.5007,105.19449,21.822458,11.192218,0.88310426,5.8469787,-1.4525007,-3.8454764,-11.135104,-2.262258,1.6053495,4.9980392,-0.7567923,-2.4711874,-4.9724197,-1.852133,-5.990251,0.92349535,-3.9093902,1.0920331
Amigos Con Derechos.mp3,-170.4695,106.998764,10.966971,1.8152062,-0.5290301,2.5141697,-7.0842195,-6.8004117,-14.04441,-3.3641307,-8.999161,-2.0947328,-2.364745,-4.991295,-9.034922,-7.094255,-10.653886,-2.3350084,-4.9927926,0.23339169
Amor A Primera Vista.mp3,-96.88131,73.22082,10.581435,22.052105,4.214783,6.5540724,0.66339034,0.52872545,-0.046880912,1.2346408,-7.075649,2.5886536,-6.127332,1.6983703,-1.7733704,0.63816726,-4.5912943,-0.5803255,-3.294581,0.022884404
AMOR PROPIO.mp3,-52.73509,72.464386,1.7638848,-0.8336577,18.876934,2.787484,6.1024785,-2.5389636,2.6783726,2.3866343,-0.9127154,11.632769,3.4329748,8.194865,0.7559204,1.4369892,-9.642973,5.966463,-2.083173,-4.7732577
Amor Tumbado.mp3,-105.13963,112.67098,29.912569,41.4651,-1.8716999,17.964817,4.5795336,-0.78672826,4.001997,7.3749084,-6.999828,11.273363,4.4052663,0.60541445,-4.0401993,13.975001,6.777846,6.3415885,-0.63515913,-4.240168
Ana Ghaltan.mp3,-181.19136,129.69409,22.72471,31.869709,13.856169,13.476741,7.8113904,7.2844357,-1.0366327,-2.1886723,-3.7346463,1.6742451,-2.2555742,-0.5155422,-4.666228,-1.3738362,-5.3798923,0.6892419,-0.9176629,5.3686166
